698654.259365985,5712059.08739529
698686.025513417,5712014.1200153
698671.706427129,5712003.42606279
698726.224181135,5711932.73662548
698766.288459505,5711877.29349459
698840.295786485,5711775.18771343
698799.516764632,5711902.20242563
698875.523566018,5711795.38729738
698707.095201582,5712110.15219437
698714.731835734,5712100.54092638
698747.614520416,5712057.8447116
698776.965225447,5712019.4643996
698803.681639815,5711983.65346802
698912.663216134,5711820.004887
698795.470359649,5712033.1065435
698814.428454702,5712171.70484559
698841.58583261,5712123.99661874
698893.646564814,5712045.64055071
698909.856294494,5712020.66487608
698875.414669122,5711993.48050054
698971.36344092,5711859.38754899
698903.822058029,5712071.98486429
698932.89750198,5712032.25834678
698972.494938701,5711966.55391169
699011.172194317,5711888.11933427
698864.539670461,5712195.16040297
698931.112352934,5712096.99601173
698952.713522997,5712065.43934964
699043.498542786,5711940.94428786
698926.980816066,5712231.90566726
699019.306291221,5712111.03408582
699108.475556465,5711995.2736646
